testName,thisNode,thisID,thatID,timeDelta,message
complete,node3,2,2,6.849000,message sent 4
complete,node3,2,2,6.854000,message sent 5
complete,node4,3,2,6.898000,message received 0
complete,node4,3,2,6.905000,message received 1
complete,node4,3,2,6.925000,message received 2
complete,node4,3,2,6.929000,message received 3
complete,node4,3,2,6.933000,message received 4
complete,node4,3,2,6.937000,message received 5
complete,node4,3,2,6.941000,message received 6
complete,node4,3,2,6.945000,message received 7
complete,node3,2,2,6.859000,message sent 6
complete,node3,2,2,6.864000,message sent 7
complete,node3,2,2,6.869000,message sent 8
complete,node3,2,2,6.874000,message sent 9
complete,node3,2,2,6.879000,message sent 10
complete,node3,2,2,6.884000,message sent 11
complete,node3,2,3,6.890000,message sent 0
complete,node3,2,3,6.896000,message sent 1
complete,node3,2,3,6.902000,message sent 2
complete,node3,2,3,6.907000,message sent 3
complete,node3,2,3,6.912000,message sent 4
complete,node3,2,3,6.919000,message sent 5
complete,node3,2,3,6.924000,message sent 6
complete,node4,3,2,6.949000,message received 8
complete,node4,3,2,6.953000,message received 9
complete,node4,3,2,6.957000,message received 10
complete,node4,3,2,6.961000,message received 11
complete,node3,2,3,6.929000,message sent 7
complete,node3,2,3,6.935000,message sent 8
complete,node4,3,0,6.972000,message sent 0
complete,node4,3,0,6.979000,message sent 1
complete,node4,3,0,6.983000,message sent 2
complete,node4,3,0,6.990000,message sent 3
complete,node3,2,3,6.940000,message sent 9
complete,node3,2,3,6.945000,message sent 10
complete,node3,2,3,6.950000,message sent 11
complete,node4,4,2,6.971000,message received 0
complete,node4,4,2,6.978000,message received 1
complete,node4,4,2,6.986000,message received 2
complete,node4,4,2,6.992000,message received 3
complete,node4,4,2,6.998000,message received 4
complete,node4,4,2,7.004000,message received 5
complete,node3,2,4,6.956000,message sent 0
complete,node3,2,4,6.961000,message sent 1
complete,node4,3,0,6.994000,message sent 4
complete,node4,3,0,6.998000,message sent 5
complete,node4,3,0,7.002000,message sent 6
complete,node4,3,0,7.006000,message sent 7
complete,node4,3,0,7.010000,message sent 8
complete,node3,0,3,6.956000,message received 0
complete,node4,4,2,7.010000,message received 6
complete,node4,4,2,7.016000,message received 7
complete,node4,4,2,7.020000,message received 8
complete,node4,4,2,7.026000,message received 9
complete,node3,2,4,6.972000,message sent 2
complete,node3,2,4,6.977000,message sent 3
complete,node4,3,0,7.014000,message sent 9
complete,node4,3,0,7.019000,message sent 10
complete,node4,3,0,7.024000,message sent 11
complete,node4,3,1,7.028000,message sent 0
complete,node3,0,3,6.966000,message received 1
complete,node3,0,3,6.972000,message received 2
complete,node3,0,3,6.978000,message received 3
complete,node4,3,1,7.032000,message sent 1
complete,node4,3,1,7.036000,message sent 2
complete,node4,3,1,7.040000,message sent 3
complete,node3,2,4,6.982000,message sent 4
complete,node3,2,4,6.989000,message sent 5
complete,node3,2,4,6.995000,message sent 6
complete,node4,4,2,7.039000,message received 10
complete,node4,4,2,7.042000,message received 11
complete,node3,0,3,6.983000,message received 4
complete,node3,0,3,6.988000,message received 5
complete,node3,0,3,6.993000,message received 6
complete,node4,5,2,7.037000,message received 0
complete,node4,5,2,7.043000,message received 1
complete,node3,2,4,7.000000,message sent 7
complete,node3,2,4,7.006000,message sent 8
complete,node4,3,1,7.044000,message sent 4
complete,node4,3,1,7.049000,message sent 5
complete,node4,3,1,7.053000,message sent 6
complete,node4,3,1,7.057000,message sent 7
complete,node4,3,1,7.061000,message sent 8
complete,node3,0,3,6.999000,message received 7
complete,node3,0,3,7.004000,message received 8
complete,node3,0,3,7.009000,message received 9
complete,node4,5,2,7.054000,message received 2
complete,node4,5,2,7.061000,message received 3
complete,node4,5,2,7.065000,message received 4
complete,node4,5,2,7.070000,message received 5
complete,node3,1,3,7.051000,message received 0
complete,node3,1,3,7.054000,message received 1
complete,node3,1,3,7.059000,message received 2
complete,node4,3,1,7.065000,message sent 9
complete,node4,3,1,7.069000,message sent 10
complete,node4,3,1,7.074000,message sent 11
complete,node4,3,2,7.078000,message sent 0
complete,node3,2,4,7.012000,message sent 9
complete,node3,2,4,7.017000,message sent 10
complete,node3,2,4,7.023000,message sent 11
complete,node3,2,5,7.029000,message sent 0
complete,node3,2,5,7.034000,message sent 1
complete,node4,5,2,7.076000,message received 6
complete,node4,5,2,7.080000,message received 7
complete,node3,0,3,7.014000,message received 10
complete,node3,0,3,7.020000,message received 11
complete,node4,3,2,7.082000,message sent 1
complete,node4,3,2,7.087000,message sent 2
complete,node4,3,2,7.090000,message sent 3
complete,node4,3,2,7.094000,message sent 4
complete,node4,3,2,7.098000,message sent 5
complete,node3,1,3,7.062000,message received 3
complete,node3,1,3,7.069000,message received 4
complete,node3,1,3,7.072000,message received 5
complete,node3,1,3,7.076000,message received 6
complete,node3,1,3,7.080000,message received 7
complete,node3,1,3,7.084000,message received 8
complete,node3,1,3,7.088000,message received 9
complete,node3,1,3,7.092000,message received 10
complete,node4,5,2,7.094000,message received 8
complete,node4,5,2,7.099000,message received 9
complete,node4,5,2,7.103000,message received 10
complete,node4,5,2,7.107000,message received 11
complete,node3,2,5,7.046000,message sent 2
complete,node3,2,5,7.052000,message sent 3
complete,node3,2,5,7.057000,message sent 4
complete,node3,2,5,7.062000,message sent 5
complete,node3,2,5,7.067000,message sent 6
complete,node4,3,2,7.102000,message sent 6
complete,node4,3,2,7.107000,message sent 7
complete,node4,3,2,7.111000,message sent 8
