testName,thisNode,thisID,thatID,timeDelta,message
ring,node3,0,5,15.131000,message sent 7
ring,node4,3,4,15.673000,message sent 0
ring,node4,3,4,15.678000,message sent 1
ring,node3,0,5,15.137000,message sent 8
ring,node3,0,5,15.141000,message sent 9
ring,node4,4,3,15.679000,message received 0
ring,node4,4,3,15.683000,message received 1
ring,node4,4,3,15.688000,message received 2
ring,node3,0,1,15.147000,message sent 0
ring,node3,0,1,15.151000,message sent 1
ring,node3,0,1,15.156000,message sent 2
ring,node4,3,4,15.683000,message sent 2
ring,node4,3,4,15.687000,message sent 3
ring,node4,3,4,15.692000,message sent 4
ring,node4,3,4,15.696000,message sent 5
ring,node3,1,0,15.170000,message received 0
ring,node3,1,0,15.175000,message received 1
ring,node3,1,0,15.180000,message received 2
ring,node3,1,0,15.185000,message received 3
ring,node4,4,3,15.693000,message received 3
ring,node4,4,3,15.697000,message received 4
ring,node4,4,3,15.702000,message received 5
ring,node4,4,3,15.706000,message received 6
ring,node3,0,1,15.161000,message sent 3
ring,node3,0,1,15.166000,message sent 4
ring,node3,0,1,15.171000,message sent 5
ring,node4,3,4,15.701000,message sent 6
ring,node4,3,4,15.705000,message sent 7
ring,node4,3,4,15.710000,message sent 8
ring,node3,1,0,15.190000,message received 4
ring,node3,1,0,15.195000,message received 5
ring,node3,1,0,15.200000,message received 6
ring,node4,4,3,15.711000,message received 7
ring,node4,4,3,15.715000,message received 8
ring,node4,4,3,15.720000,message received 9
ring,node4,4,5,15.722000,message sent 0
ring,node4,4,5,15.725000,message sent 1
ring,node3,0,1,15.177000,message sent 6
ring,node3,0,1,15.182000,message sent 7
ring,node3,0,1,15.187000,message sent 8
ring,node3,0,1,15.192000,message sent 9
ring,node4,3,4,15.714000,message sent 9
ring,node3,1,0,15.205000,message received 7
ring,node3,1,0,15.211000,message received 8
ring,node3,1,0,15.215000,message received 9
ring,node3,1,2,15.219000,message sent 0
ring,node3,1,2,15.223000,message sent 1
ring,node4,4,5,15.727000,message sent 2
ring,node4,4,5,15.729000,message sent 3
ring,node4,4,5,15.732000,message sent 4
ring,node4,4,5,15.734000,message sent 5
ring,node4,4,5,15.736000,message sent 6
ring,node4,4,5,15.738000,message sent 7
ring,node4,4,5,15.740000,message sent 8
ring,node3,1,2,15.227000,message sent 2
ring,node3,1,2,15.230000,message sent 3
ring,node3,1,2,15.233000,message sent 4
ring,node3,1,2,15.236000,message sent 5
ring,node4,5,4,15.718000,message received 0
ring,node4,5,4,15.724000,message received 1
ring,node4,5,4,15.728000,message received 2
ring,node4,5,4,15.733000,message received 3
ring,node4,5,4,15.738000,message received 4
ring,node3,2,1,15.209000,message received 0
ring,node3,2,1,15.215000,message received 1
ring,node3,2,1,15.220000,message received 2
ring,node3,2,1,15.226000,message received 3
ring,node4,4,5,15.743000,message sent 9
ring,node3,1,2,15.239000,message sent 6
ring,node3,1,2,15.242000,message sent 7
ring,node3,1,2,15.245000,message sent 8
ring,node3,1,2,15.248000,message sent 9
ring,node4,5,4,15.742000,message received 5
ring,node4,5,4,15.747000,message received 6
ring,node4,5,4,15.754000,message received 7
ring,node4,5,4,15.759000,message received 8
ring,node3,2,1,15.231000,message received 4
ring,node3,2,1,15.237000,message received 5
ring,node3,2,1,15.242000,message received 6
ring,node3,2,1,15.248000,message received 7
ring,node4,5,4,15.763000,message received 9
ring,node4,5,6,15.768000,message sent 0
ring,node3,2,1,15.253000,message received 8
ring,node3,2,1,15.258000,message received 9
ring,node4,5,6,15.773000,message sent 1
ring,node4,5,6,15.778000,message sent 2
ring,node4,5,6,15.783000,message sent 3
ring,node3,2,3,15.264000,message sent 0
ring,node3,2,3,15.270000,message sent 1
ring,node4,5,6,15.788000,message sent 4
ring,node4,5,6,15.792000,message sent 5
ring,node3,2,3,15.275000,message sent 2
ring,node3,2,3,15.281000,message sent 3
ring,node3,2,3,15.287000,message sent 4
ring,node4,5,6,15.797000,message sent 6
ring,node4,5,6,15.802000,message sent 7
